,user_id,month_year,amount
0,00183cfe-ceb0-9220-7984-f33f61c61ae4,2020-01,25306
1,00183cfe-ceb0-9220-7984-f33f61c61ae4,2020-02,66821
2,00183cfe-ceb0-9220-7984-f33f61c61ae4,2020-03,17817
3,001b10c4-0ec1-68c9-a059-0a44159119bd,2020-01,6222
4,001b10c4-0ec1-68c9-a059-0a44159119bd,2020-02,23162
5,001b10c4-0ec1-68c9-a059-0a44159119bd,2020-03,7097
6,002f9cc4-096b-faff-f5b7-751f497e28aa,2020-01,23086
7,002f9cc4-096b-faff-f5b7-751f497e28aa,2020-02,13545
8,002f9cc4-096b-faff-f5b7-751f497e28aa,2020-03,2749
9,0030f3fb-01f7-1027-555c-7e9f7a793d3e,2020-01,16791
10,0030f3fb-01f7-1027-555c-7e9f7a793d3e,2020-02,30976
11,0030f3fb-01f7-1027-555c-7e9f7a793d3e,2020-03,5578
12,006baa01-fdbc-26e7-8734-baefc2e4866f,2020-01,8546
13,006baa01-fdbc-26e7-8734-baefc2e4866f,2020-02,19564
14,006baa01-fdbc-26e7-8734-baefc2e4866f,2020-03,12051
15,007b0a78-f278-d163-d312-8e5cbea3351d,2020-01,18532
16,007b0a78-f278-d163-d312-8e5cbea3351d,2020-02,47350
17,007b0a78-f278-d163-d312-8e5cbea3351d,2020-03,8804
18,00a1402e-57e7-ef7b-8486-10cfd21276c2,2020-01,76818
19,00a1402e-57e7-ef7b-8486-10cfd21276c2,2020-02,17002
20,00a1402e-57e7-ef7b-8486-10cfd21276c2,2020-03,8767
21,00ac317a-dd82-ab3e-2868-5bdd02c81d11,2020-01,7434
22,00ac317a-dd82-ab3e-2868-5bdd02c81d11,2020-02,15422
23,00ac317a-dd82-ab3e-2868-5bdd02c81d11,2020-03,7728
24,00d3d1af-353e-0c86-24ae-ba79e4b82987,2020-01,15217
25,00d3d1af-353e-0c86-24ae-ba79e4b82987,2020-02,6417
26,00d3d1af-353e-0c86-24ae-ba79e4b82987,2020-03,930
27,0111aca2-9949-07f1-283d-53d5bce4588e,2020-01,13187
28,0111aca2-9949-07f1-283d-53d5bce4588e,2020-02,4309
29,0111aca2-9949-07f1-283d-53d5bce4588e,2020-03,1726
30,01364fc5-1a6e-d97f-03cd-7bab667b94c9,2020-01,41415
31,01364fc5-1a6e-d97f-03cd-7bab667b94c9,2020-02,16751
32,01364fc5-1a6e-d97f-03cd-7bab667b94c9,2020-03,22153
33,013a3cfa-d2b2-7882-3b2d-32d0a65c2fea,2020-01,25382
34,013a3cfa-d2b2-7882-3b2d-32d0a65c2fea,2020-02,51564
35,013a3cfa-d2b2-7882-3b2d-32d0a65c2fea,2020-03,12885
36,0140a718-b50a-2a65-6ca3-6771c7ef28e7,2020-01,9985
37,0140a718-b50a-2a65-6ca3-6771c7ef28e7,2020-02,21931
38,0140a718-b50a-2a65-6ca3-6771c7ef28e7,2020-03,6760
39,01847803-d840-fccb-2446-eceecaa0a679,2020-01,54692
40,01847803-d840-fccb-2446-eceecaa0a679,2020-02,31296
41,01847803-d840-fccb-2446-eceecaa0a679,2020-03,22805
42,01a02c0d-1161-fdb0-b0d0-f5cb084ada1c,2020-01,88578
43,01a02c0d-1161-fdb0-b0d0-f5cb084ada1c,2020-02,83489
44,01a02c0d-1161-fdb0-b0d0-f5cb084ada1c,2020-03,9303
45,01a39f80-6333-d1ec-8c85-ca141ef02a90,2020-01,23317
46,01a39f80-6333-d1ec-8c85-ca141ef02a90,2020-02,11829
47,01a39f80-6333-d1ec-8c85-ca141ef02a90,2020-03,20289
48,01f5b716-4b50-0821-26b6-31e03ae688c0,2020-01,19503
49,01f5b716-4b50-0821-26b6-31e03ae688c0,2020-02,23827
50,01f5b716-4b50-0821-26b6-31e03ae688c0,2020-03,11823
51,0203d17e-40d9-56b5-b5af-e2bdb377281f,2020-01,22095
52,0203d17e-40d9-56b5-b5af-e2bdb377281f,2020-02,13285
53,0203d17e-40d9-56b5-b5af-e2bdb377281f,2020-03,15897
54,022fe37d-c8a7-cea0-06eb-b89d6099ee1f,2020-01,14640
55,022fe37d-c8a7-cea0-06eb-b89d6099ee1f,2020-02,24924
56,022fe37d-c8a7-cea0-06eb-b89d6099ee1f,2020-03,17819
57,023f3852-0af8-d933-5f99-697f70ef6d2b,2020-01,69094
58,023f3852-0af8-d933-5f99-697f70ef6d2b,2020-02,14945
59,023f3852-0af8-d933-5f99-697f70ef6d2b,2020-03,868
60,025f1f28-e4d9-d8f5-9aa0-fe016a66817e,2020-01,7382
61,025f1f28-e4d9-d8f5-9aa0-fe016a66817e,2020-02,4560
62,025f1f28-e4d9-d8f5-9aa0-fe016a66817e,2020-03,16422
63,026e7549-fd37-729e-86be-49572e1a901c,2020-01,10167
64,026e7549-fd37-729e-86be-49572e1a901c,2020-02,3412
